pid,arrivalTime,priority,processTime,timeExited,readyQueueTime,waitQueueTime,runningQueueTime,IOQueueTime
5,0,1,6585,6585,6375,0,173,38
3,0,1,6640,6640,6412,0,186,43
14,3,3,7221,7224,7020,0,161,41
16,4,2,7313,7317,7127,0,152,35
19,4,5,7318,7322,7116,0,168,35
24,6,3,7338,7344,7124,0,172,43
23,6,4,7339,7345,7127,0,171,42
22,5,1,7346,7351,7144,0,167,36
27,7,2,7347,7354,7148,0,160,40
25,6,1,7353,7359,7149,0,171,34
26,6,2,7354,7360,7137,0,181,37
36,8,3,7371,7379,7174,0,154,44
37,9,1,7393,7402,7185,0,172,37
39,9,5,7411,7420,7195,0,183,34
49,12,1,7415,7427,7219,0,156,41
48,12,3,7418,7430,7212,0,169,38
42,10,1,7424,7434,7212,0,180,33
47,11,1,7440,7451,7229,0,169,43
56,13,2,7439,7452,7263,0,143,34
51,12,3,7451,7463,7253,0,165,34
60,14,1,7483,7497,7265,0,183,36
68,16,4,7490,7506,7302,0,146,43
61,14,1,7501,7515,7272,0,189,41
71,17,5,7511,7528,7317,0,157,38
70,17,4,7523,7540,7331,0,162,31
82,19,4,7560,7579,7354,0,171,36
83,19,3,7575,7594,7360,0,179,37
99,23,1,7605,7628,7388,0,179,39
104,24,2,7629,7653,7427,0,168,35
103,24,1,7630,7654,7424,0,172,35
97,23,1,7640,7663,7412,0,185,44
105,25,1,7652,7677,7443,0,170,40
4,0,2,7682,7682,7459,0,179,45
116,27,2,7674,7701,7477,0,157,41
111,26,2,7679,7705,7472,0,168,40
115,26,2,7679,7705,7480,0,163,37
124,29,3,7751,7780,7529,0,188,35
135,36,1,7781,7817,7576,0,170,36
145,38,1,7788,7826,7585,0,168,36
155,43,1,7841,7884,7647,0,160,35
159,44,5,7843,7887,7657,0,149,38
160,44,1,7846,7890,7667,0,148,32
146,39,2,7854,7893,7623,0,191,41
156,43,2,7865,7908,7650,0,175,41
7,1,1,7920,7921,7678,0,196,47
164,45,2,7895,7940,7685,0,171,40
165,45,1,7901,7946,7692,0,174,36
166,45,3,7931,7976,7713,0,183,36
182,48,4,7963,8011,7749,0,176,39
187,49,1,7969,8018,7762,0,165,43
189,50,2,7981,8031,7781,0,160,41
196,52,5,8006,8058,7796,0,174,37
195,51,3,8022,8073,7833,0,153,37
200,53,4,8037,8090,7838,0,162,38
207,54,1,8045,8099,7847,0,163,36
206,54,3,8055,8109,7851,0,166,39
218,58,1,8092,8150,7879,0,168,46
220,58,3,8114,8172,7893,0,177,45
222,58,1,8133,8191,7907,0,182,45
233,61,3,8160,8221,7958,0,167,36
10,2,1,8242,8244,7975,0,229,39
244,64,1,8198,8262,8003,0,158,38
239,63,5,8209,8272,7991,0,180,39
250,66,3,8233,8299,8028,0,163,43
249,65,1,8242,8307,8015,0,190,38
254,66,1,8244,8310,8029,0,174,42
255,67,1,8247,8314,8034,0,179,35
257,68,1,8253,8321,8054,0,162,38
261,68,1,8273,8341,8054,0,183,37
266,70,3,8298,8368,8079,0,179,41
268,70,4,8304,8374,8117,0,151,37
272,71,4,8317,8388,8118,0,158,42
278,74,2,8341,8415,8133,0,170,39
284,75,2,8364,8439,8167,0,155,43
297,79,1,8401,8480,8186,0,172,44
295,79,3,8423,8502,8206,0,184,34
21,4,4,8506,8510,8270,0,188,49
33,8,3,8519,8527,8290,0,181,49
17,4,1,8524,8528,8270,0,210,45
38,9,5,8548,8557,8297,0,202,50
45,10,1,8566,8576,8323,0,192,52
50,12,3,8564,8576,8342,0,175,48
54,12,1,8584,8596,8335,0,204,46
63,16,2,8585,8601,8352,0,196,38
59,14,5,8601,8615,8348,0,208,46
65,16,1,8605,8621,8373,0,187,46
66,16,3,8621,8637,8385,0,189,48
72,17,4,8626,8643,8390,0,199,38
76,18,3,8633,8651,8414,0,182,38
77,18,2,8642,8660,8408,0,190,45
85,20,2,8648,8668,8422,0,185,42
89,21,2,8664,8685,8452,0,165,48
88,21,1,8675,8696,8434,0,197,45
84,19,2,8689,8708,8430,0,208,52
95,22,3,8688,8710,8448,0,201,40
98,23,1,8691,8714,8472,0,173,47
93,22,3,8697,8719,8427,0,215,56
96,22,5,8701,8723,8483,0,173,46
100,23,4,8713,8736,8489,0,178,47
101,24,3,8721,8745,8462,0,216,44
114,26,3,8739,8765,8507,0,183,50
122,29,1,8764,8793,8503,0,215,47
120,28,3,8770,8798,8526,0,194,51
125,30,1,8775,8805,8551,0,180,45
0,0,4,8808,8808,8551,0,207,51
123,29,4,8780,8809,8525,0,209,47
129,32,1,8777,8809,8559,0,182,37
2,0,1,8813,8813,8549,0,210,55
133,35,3,8811,8846,8572,0,194,46
140,36,4,8813,8849,8601,0,170,43
134,36,1,8822,8858,8582,0,197,44
130,33,3,8828,8861,8585,0,195,49
137,36,1,8835,8871,8587,0,197,52
147,40,1,8843,8883,8611,0,185,48
154,42,1,8865,8907,8635,0,187,44
168,46,4,8900,8946,8664,0,192,45
163,45,2,8901,8946,8670,0,186,46
162,44,2,8916,8960,8658,0,216,43
167,46,2,8920,8966,8680,0,195,46
176,47,3,8939,8986,8708,0,189,43
186,49,2,8940,8989,8745,0,153,43
181,48,2,8945,8993,8702,0,192,52
179,48,4,8951,8999,8718,0,186,48
183,49,3,8957,9006,8723,0,182,53
6,0,3,9007,9007,8725,0,235,48
208,55,4,9038,9093,8789,0,198,52
205,54,1,9040,9094,8796,0,202,43
212,55,3,9050,9105,8825,0,186,40
209,55,1,9052,9107,8823,0,178,52
219,58,5,9056,9114,8829,0,175,53
213,56,1,9078,9134,8818,0,220,41
221,58,4,9077,9135,8838,0,193,47
228,60,2,9090,9150,8861,0,179,51
226,59,2,9098,9157,8866,0,190,43
229,60,1,9109,9169,8877,0,182,51
9,2,1,9167,9169,8907,0,214,47
235,61,1,9109,9170,8885,0,173,52
234,61,1,9125,9186,8876,0,199,51
232,61,1,9130,9191,8858,0,229,44
236,61,3,9131,9192,8902,0,175,55
241,63,4,9132,9195,8897,0,192,44
243,63,1,9141,9204,8895,0,205,42
247,64,1,9148,9212,8920,0,178,51
238,62,5,9158,9220,8912,0,203,44
246,64,2,9167,9231,8934,0,186,48
251,66,3,9174,9240,8907,0,212,56
263,68,2,9174,9242,8956,0,178,41
256,67,2,9191,9258,8927,0,214,51
262,68,2,9194,9262,8944,0,205,46
267,70,2,9199,9269,8967,0,194,39
269,71,4,9217,9288,8971,0,199,48
271,71,5,9218,9289,8985,0,192,42
270,71,4,9230,9301,8981,0,197,53
279,75,4,9230,9305,9001,0,185,45
281,75,2,9239,9314,9014,0,180,46
283,75,3,9250,9325,9005,0,199,47
15,3,2,9328,9331,9090,0,180,59
285,75,2,9260,9335,9030,0,185,46
289,78,2,9294,9372,9055,0,201,39
18,4,1,9384,9388,9116,0,217,52
28,7,2,9402,9409,9118,0,233,52
30,7,3,9421,9428,9141,0,234,47
35,8,1,9422,9430,9153,0,214,56
46,11,2,9428,9439,9161,0,222,46
52,12,1,9441,9453,9182,0,211,49
32,8,1,9446,9454,9144,0,250,53
40,10,4,9446,9456,9181,0,213,53
64,16,2,9455,9471,9220,0,187,49
75,17,3,9487,9504,9220,0,221,47
78,18,2,9505,9523,9217,0,244,45
94,22,2,9518,9540,9221,0,239,59
91,22,2,9523,9545,9234,0,232,58
110,26,1,9528,9554,9263,0,217,49
106,25,3,9532,9557,9287,0,200,46
113,26,1,9542,9568,9270,0,226,47
118,28,1,9560,9588,9279,0,224,58
121,29,4,9570,9599,9311,0,215,45
132,35,1,9570,9605,9315,0,206,50
127,32,2,9579,9611,9320,0,209,51
1,0,3,9612,9612,9345,0,215,53
126,31,2,9584,9615,9296,0,233,56
138,36,5,9599,9635,9309,0,240,51
136,36,3,9607,9643,9323,0,235,50
150,41,3,9614,9655,9345,0,224,46
143,38,1,9627,9665,9338,0,234,56
151,41,3,9630,9671,9352,0,232,47
152,41,1,9637,9678,9365,0,216,57
158,44,2,9641,9685,9376,0,214,52
161,44,1,9651,9695,9386,0,222,44
173,47,5,9648,9695,9403,0,202,44
172,47,4,9660,9707,9409,0,199,53
175,47,3,9665,9712,9413,0,203,50
178,48,2,9689,9737,9405,0,231,54
184,49,2,9692,9741,9414,0,229,50
193,51,3,9695,9746,9421,0,223,52
194,51,2,9711,9762,9442,0,223,47
198,53,1,9711,9764,9441,0,223,48
11,2,2,9763,9765,9476,0,231,57
199,53,1,9740,9793,9463,0,237,41
217,57,1,9750,9807,9487,0,209,55
211,55,2,9758,9813,9477,0,227,55
225,59,1,9755,9814,9522,0,184,50
215,56,2,9762,9818,9491,0,216,56
223,58,4,9766,9824,9495,0,216,56
216,56,2,9783,9839,9486,0,244,54
8,2,4,9841,9843,9563,0,222,57
237,61,1,9788,9849,9505,0,232,52
252,66,1,9797,9863,9549,0,200,49
248,64,3,9810,9874,9539,0,223,49
260,68,1,9806,9874,9539,0,218,50
274,71,4,9812,9883,9569,0,195,49
265,69,1,9817,9886,9563,0,209,46
12,2,3,9899,9901,9575,0,258,67
273,71,5,9834,9905,9563,0,220,52
277,73,2,9833,9906,9573,0,209,52
275,71,3,9835,9906,9565,0,215,56
286,76,2,9844,9920,9590,0,203,52
290,78,2,9846,9924,9593,0,207,47
287,77,1,9857,9934,9586,0,224,48
13,2,1,9936,9938,9617,0,267,53
293,78,3,9866,9944,9585,0,229,53
276,72,3,9874,9946,9560,0,260,55
299,80,1,9873,9953,9643,0,188,43
294,79,2,9889,9968,9610,0,231,49
20,4,3,9968,9972,9659,0,249,61
31,7,4,9969,9976,9690,0,229,51
43,10,1,9978,9988,9703,0,218,58
29,7,1,9982,9989,9670,0,250,63
34,8,1,9982,9990,9702,0,227,54
55,13,1,9979,9992,9685,0,241,54
41,10,4,9985,9995,9705,0,223,58
53,12,4,9986,9998,9686,0,249,52
57,14,1,9991,10005,9709,0,225,58
67,16,2,9996,10012,9698,0,246,53
62,15,2,9998,10013,9667,0,266,66
74,17,4,9998,10015,9731,0,213,55
58,14,2,10002,10016,9687,0,247,69
44,10,1,10007,10017,9700,0,246,62
79,18,4,10014,10032,9731,0,221,63
69,17,4,10018,10035,9696,0,265,58
80,19,1,10017,10036,9714,0,242,62
73,17,5,10022,10039,9703,0,260,60
92,22,2,10017,10039,9748,0,208,62
81,19,2,10025,10044,9758,0,207,61
86,20,2,10034,10054,9739,0,241,55
90,22,2,10034,10056,9728,0,252,55
87,21,1,10040,10061,9712,0,265,64
107,25,1,10042,10067,9769,0,223,51
108,25,4,10042,10067,9739,0,239,65
102,24,1,10047,10071,9724,0,260,64
109,26,1,10052,10078,9746,0,246,61
119,28,5,10051,10079,9772,0,224,56
117,28,1,10053,10081,9763,0,233,58
128,32,2,10057,10089,9765,0,234,59
139,36,5,10054,10090,9771,0,223,61
112,26,3,10066,10092,9739,0,268,60
141,37,4,10065,10102,9759,0,250,57
142,37,1,10069,10106,9763,0,243,64
131,34,4,10074,10108,9766,0,249,60
149,41,1,10067,10108,9796,0,223,49
153,42,4,10070,10112,9804,0,209,58
144,38,1,10079,10117,9781,0,234,65
157,43,1,10082,10125,9788,0,242,53
170,47,4,10083,10130,9806,0,224,54
148,41,3,10092,10133,9765,0,271,57
169,46,4,10089,10135,9815,0,226,49
171,47,5,10089,10136,9803,0,224,63
177,48,2,10098,10146,9808,0,233,58
174,47,4,10100,10147,9793,0,245,63
188,49,1,10105,10154,9825,0,216,65
190,50,2,10107,10157,9818,0,228,62
185,49,2,10111,10160,9802,0,253,57
191,51,2,10112,10163,9817,0,240,56
192,51,2,10114,10165,9822,0,239,54
180,48,1,10118,10166,9791,0,262,66
202,54,1,10122,10176,9836,0,228,59
197,52,1,10126,10178,9827,0,240,60
201,54,3,10130,10184,9816,0,258,57
204,54,2,10131,10185,9838,0,237,57
203,54,1,10135,10189,9843,0,240,53
210,55,1,10137,10192,9831,0,257,50
231,60,4,10141,10201,9852,0,231,59
224,58,3,10146,10204,9845,0,248,54
214,56,3,10149,10205,9862,0,234,54
240,63,4,10146,10209,9856,0,239,52
230,60,3,10152,10212,9874,0,227,52
227,59,2,10161,10220,9840,0,257,65
245,64,1,10163,10227,9869,0,235,60
242,63,1,10168,10231,9870,0,240,59
253,66,4,10167,10233,9873,0,239,56
259,68,5,10169,10237,9830,0,271,69
264,69,2,10171,10240,9855,0,254,63
258,68,2,10174,10242,9831,0,279,65
288,77,1,10177,10254,9897,0,225,56
282,75,4,10182,10257,9904,0,225,54
291,78,2,10180,10258,9869,0,252,60
292,78,2,10181,10259,9902,0,217,63
280,75,1,10187,10262,9890,0,242,56
298,79,1,10191,10270,9896,0,237,59
296,79,5,10192,10271,9877,0,257,59
